,PT,Deterministic,PT_10,PT_20,PT_50
111,145448.65381219907,351418.2258752913,176941.9187865905,174948.81512052895,162830.20198546592
112,153854.86429699077,517901.9549067761,209777.89876782143,157323.49331859208,153684.72264453885
113,230888.9991720668,620084.7157501322,361784.71934433695,274959.44392396853,220560.3895590486
114,202956.5160820112,317938.69531158335,263833.10918091144,198481.48056320797,197934.44295342738
115,182830.7128880998,529876.5522368683,376397.3872730038,182248.81724531297,181203.96655613222
116,218018.6622154094,532690.1703915418,337447.2722582075,234959.93175408232,217170.717640494
117,242209.6878443466,478381.32457419427,435489.3809072974,227508.46170864473,203843.8224234986
118,155786.95960229886,579604.823557574,284928.45965726476,192805.09019313447,157387.04747382173
119,248928.3265766385,779036.4428108779,406875.64314873447,291193.90239067696,250618.65785769944
120,260206.49821166083,863350.1260643979,431106.53682239895,361192.3724600115,259370.22216394613
121,241793.0410934224,902113.4778691947,370144.42172478815,294886.5780614593,255139.98467096992
122,213376.94408477968,565330.42206913,277670.2931126436,209317.27982190126,203853.23924407232
123,182010.23516422726,511560.60934421455,363267.1417303922,285246.02326317946,220898.21548252954
124,199144.97193068833,580018.1823017123,341703.21995570575,292896.6063659203,266816.39174171834
125,198977.1656000153,612133.4966078773,389020.7036265823,372535.4308916426,231859.75390458296
126,163582.72955321588,660866.5164209943,286834.63514942734,201129.1614789778,166102.3625533936
127,282594.9706843735,878319.031923618,439583.9789479987,331421.5120711344,279361.00602939224
128,189605.2408340433,856153.0301788198,320342.7506019074,281932.8118600184,205084.32832228552
129,193880.99775349328,896169.6079373594,335275.83460061555,295531.59535178175,197108.11884417292
130,210110.41427417228,796168.8985534012,399515.2057663667,261659.43724074127,202335.2305191941
131,185172.56478868576,606702.3483833328,341688.0363702758,237775.253297053,194340.71681748994
132,245166.499025828,972486.1581479099,485010.2330954167,356957.2091345882,233639.33309130423
133,227463.3028472916,338724.70705665956,351341.2188873199,230009.20423780108,224636.8377265975
134,188451.71513579975,336453.31172064843,266233.1544823982,205636.86115332908,190591.77084406477
135,167128.04797338627,248325.4142963712,214918.7756205702,171744.9972854578,168654.2150778042
136,154678.86607394778,251377.6308951071,237587.50376563147,165335.77655927106,156200.63543389374
137,177018.52902257023,286531.93106640724,273588.3208843375,214381.1758474037,174844.1505552953
138,166365.1839454745,533237.522517668,222769.0291560035,172980.94467373393,170184.6148273499
139,174390.36519068744,537213.0150167455,239246.2470265139,184975.80787009458,175714.76544942963
140,221958.85010431684,437541.4848869055,286957.4696085644,237143.21807569524,245424.7630515688
141,276028.1830773105,618951.7370024691,360538.7996981087,403105.77078090707,322347.1798054569
142,235227.94736197364,428283.50758035923,327419.8979750423,242155.2005135664,234755.70897557627
143,271340.824884847,412978.53854344424,311112.0782709944,273613.85528823617,273106.54175541084
144,270291.7785472687,401671.95272279874,291707.52357708913,270805.8733163037,268897.0089096678
145,293491.8647894452,328541.6252382791,314815.71998582425,293983.7592819807,295463.7738072038
146,265084.7284386138,263901.43300537555,264861.8051338782,278505.04632273933,275047.536340413
147,234923.13642975327,229688.3838916843,255998.28775275862,234719.29884408935,234064.27352384303
148,268005.9566578616,278380.30629197677,281803.6148046865,267516.0232305205,269364.9149690957
149,320689.2564559596,331563.56095343677,331273.36453054065,320972.27889978135,325405.5185333771
150,346342.98815893295,386218.4625544004,358763.524195456,345710.99074341264,350155.02484118176
151,325600.73878754815,360271.5841105162,332219.6085986826,326330.886791752,326968.8507072313
152,333441.7755260009,357859.0384209403,344274.76104739885,343636.34227670834,339744.0832692158
153,236435.28840487218,256458.7137163043,282608.4314995307,244692.8722254722,242716.4579842645
154,239187.2147632834,439155.31910535553,337476.9731730879,279389.3408118837,255547.17957191903
155,271159.3197330019,715263.1253268151,376010.80483310437,557453.2322458767,333944.8330501444
156,249800.75903105547,363684.72047566134,281587.6465444171,252758.16240390574,249356.43008345016
157,272738.80461951054,327936.4171635188,289136.6231763487,283742.3849623315,272267.0730398168
158,344138.5273629523,356140.85460564034,350568.1261459257,347517.03384118836,345113.40673688415
159,371040.92479451763,373005.08407388686,374753.2903182876,374474.4575640771,382456.91182496113
160,348520.7007871122,342191.3561538734,343576.80913227255,346100.2206444402,353217.8651712386
161,310522.2179049341,308010.9915109228,316785.6300901213,306458.77872967673,308704.8965866251
162,327862.6212438241,321667.35982811206,324341.2294132612,324508.41324379505,325005.9682507834
163,261088.03440558165,293323.4947250967,261085.2673179877,258504.51078076058,257853.34560661175
164,230028.9371103347,222256.8253775377,237300.33723087638,234543.3400094782,231428.15384099737
165,217328.54964906618,211802.5581930332,224596.09033689107,223926.82962664045,216977.60619495885
166,231320.13273084396,268884.082671648,243490.845094499,241342.6019119157,228751.7305327518
167,286654.67133043444,292118.0377176051,281504.9924873811,284759.89287073375,290818.18316070037
168,341793.8852511833,342768.03226468945,339923.85193401447,339879.76319564943,341323.20839331485
169,328039.6834646296,326216.33705687564,326875.6893503715,327786.2949391551,331069.8733742002
170,314209.50054926233,434980.38946550805,320848.4865962396,291700.0469704664,300007.3881956268
171,276652.6820769055,459474.0899070784,282391.6648265918,277027.69853727164,275237.40566604724
172,328880.1208010073,338669.9307883666,328721.62593762914,327264.24201947195,328604.4491158958
173,340120.72632859275,337375.9634518612,336918.8033369025,347517.95587799937,339526.9080811347
174,311410.5316543683,314409.4970453618,312558.2228102908,314085.49051594356,315676.3754559288
175,322756.56625316787,322043.0727229434,320879.54097021994,323189.02955594094,323306.47028993705
176,308669.2679823283,309158.8227748347,319431.15871983615,314730.48434133705,308199.282270994
177,335082.50594253506,347569.47497454844,347894.97320608725,334632.79428653145,336633.28525708313
178,348906.535496237,361841.2170421919,359724.77623260283,358860.3949123363,353886.04874743556
179,306626.4796496789,303451.6799065922,303616.0634783605,305150.79539411195,304744.6781593019
180,310332.7147055295,305485.5615618613,303919.4406283663,303921.8840773668,310555.5789969775
181,310891.11419056426,310630.9520577124,303990.53888873564,310689.72959898814,308729.3872254717
182,329207.8284704924,331744.28942092566,332757.01079903485,323261.2321118251,326265.2065084214
183,362308.8253483779,362770.9272484149,361522.8144521431,364560.19599686924,365552.22435169143
184,386777.1355959208,374547.9847667648,379898.977862176,383030.47271862795,387424.4266316362
185,350434.87922637456,338748.05723554804,347403.67468633555,349356.187598094,350114.1346696461
186,304150.3982334776,295384.8067497377,297988.3662681262,307029.5079214823,304976.31658240216
187,320718.91460079304,315955.72819735686,316321.33909837843,317696.2388653876,321141.3866257902
188,318663.0715441632,312622.88465396257,311314.3173386139,313011.9433693403,316105.2826215281
189,317655.0161124165,311296.6373418149,314902.02696234523,315133.2729763023,318584.1517129611
190,319399.6679962453,337505.22934759385,332135.21447130863,318700.7996776023,316189.4095072814
191,362284.4904399563,372762.4467253585,351834.57977481245,352760.68192232744,353668.93047310645
192,408083.05227163027,423061.23989529087,408240.94101365434,407724.5583908467,409177.50258284435
193,420188.54396330274,430898.2258850144,423466.11220365006,425923.5228317671,422377.197687049
194,315517.268078505,307237.05313955713,311983.72830999753,313337.4028485757,313760.82795473014
195,249023.65159502998,241342.33434772826,259571.78655826495,260488.9219553584,247825.95285904294
196,256615.5551596742,253322.81540259835,270455.0598505526,258154.12311666805,261455.5589863718
197,279632.35052698595,277220.456683118,286334.537978309,281353.53762345243,294400.2882743291
198,313647.8154296162,321366.4828777319,311138.4128818472,311103.3495071978,317248.782970014
199,362605.1653588855,361302.5694551395,360014.5059894427,363607.86003280565,363767.3333924479
200,404878.9629478219,406918.7250332488,405331.2019433386,407054.32211112906,405231.96671759506
201,445070.4913315292,443021.7839058649,447692.36771596153,446562.1971207326,444775.1770011084
202,480712.8828483251,475247.86209730484,486114.0935028871,481939.1390402353,481496.86059045396
203,467482.080793499,465695.8387443232,474653.5374289201,474100.22210346453,467915.6007465094
204,423598.96041429404,426663.8452807695,426274.7862553174,432517.2780095366,423421.06776904204
205,399510.85725814436,420390.6791045754,385869.05920328223,389289.95485137077,402948.3109889433
206,325416.97467202524,327639.40222826425,323081.070205758,319422.35065534594,320891.3166902971
207,370468.75434633234,371541.3868647884,368188.7562290947,369738.6969490772,373311.9427259611
208,409330.1041419074,410441.98788752843,413639.6037861796,410255.90089446754,410171.2007282552
209,456698.36522503477,453114.52042945346,459443.8295083823,458337.43484472926,456488.3876533782
210,436915.64682403335,443285.09002835513,439041.10229209904,438872.8826890359,437703.6270118797
211,301853.909632421,297210.77338222513,341151.54820635566,337450.27173108305,314221.3342690609
212,343773.0851203062,336948.6229469673,341573.98318950576,339445.60884847003,338170.3194249579
213,376301.2320021611,381729.86789050465,373999.77850121737,375564.04578819167,378896.9033021516
214,399072.44516351796,406610.9767928354,397684.8732824152,402780.3201676381,399933.7100967919
215,421106.41537267657,420735.37106050755,421150.5049056701,423045.392803087,420775.397971163
216,385861.65108497255,383760.03265912534,381231.8531867562,388347.33121039317,395366.5018932869
217,311178.77562705823,334905.7732083905,329344.79940118064,315300.2942446933,316887.30491330713
218,401485.85627680965,402206.1697124686,405396.2490340435,405657.51369041234,403009.2075365456
219,429378.25680860283,429027.61921310995,431913.1437018304,429608.30476256926,430361.8609127208
220,417831.1073736111,418059.3474064577,421924.8170745643,425973.0866723727,417900.7975673251
221,389043.97998521535,388522.2327522745,389122.83651172207,392610.5115663175,389392.9225362961
222,342081.8159663729,341320.3069029679,342207.91172006313,348687.10358058097,345442.8243027435
223,321731.51724711043,315546.4744008045,312960.85031408,319795.5688908018,318765.4272196759
224,299467.952721392,292158.1836949225,295721.65048532124,295929.1384930171,298694.99833635724
225,300682.2520292415,294326.15214577335,296595.7838121753,297620.5829799234,298362.83565525216
226,301706.6900728344,291008.3961641726,295595.4160462882,312160.74327093497,303381.6119133868
227,298702.85738159885,294254.783568513,297203.19608579844,296549.476727937,301639.05278271105
228,311337.0176246875,306183.83010708325,305310.6789670313,304313.1572379147,304354.90635882824
229,297280.9882124002,292891.1956642658,295679.23145767703,294988.6159345596,297933.756235775
230,316796.6313793725,310673.3648439312,311755.86472527584,313393.5852032306,315792.75345997
231,306827.45888155256,303476.7066486894,303224.6159580849,304786.1129581733,309557.2178372001
232,317589.097924093,315452.0200975351,317386.39646011934,320317.91076968034,323249.30770673946
233,307830.3951511243,307292.18409028073,306361.66880012763,299505.8133425454,309889.7536757345
234,276551.7218896056,268507.50970997656,274004.7114422316,275487.6763616315,276324.82210719655
235,293754.0826698732,288969.635254771,291107.82793886075,288874.3803840196,293427.1611271796
236,331548.9832948208,344779.8529608082,323718.1763395759,332557.29637543386,328660.30239659065
237,294448.3157372584,343855.3310127168,309311.32737022435,296192.8172364484,298184.44667811284
238,351144.9523326225,931140.4937206929,411860.4808552471,320682.38398363173,407504.8516577044
239,228060.11536138767,652841.85544217,300119.9204315223,226441.60475340736,216001.91073471916
240,199280.2471431684,383182.85686722264,251278.33228045443,232815.28815739762,205766.32411964954
241,215485.16503168177,412172.41078365024,402569.7554533535,235654.70594645085,204895.38594290343
242,235952.72710803532,371778.2730833315,361032.6125352453,236797.6160819616,228587.25722187586
243,246560.59970032913,297812.13023847074,380968.79356374766,257696.96872232048,246689.6631595138
244,243487.4439084755,405988.77322187286,267906.1928153416,262566.71250107314,253083.59056331022
245,289610.27475409396,322610.736652801,284282.55730938126,294667.2328319218,290959.40460943326
246,271195.4764983552,264007.575928468,273459.3986543589,272234.8311165127,269749.1079011816
247,269662.13184073614,271642.47922539146,281403.31486313755,271469.306353566,273578.9813065688
248,237539.65822454006,230249.42131733324,241448.6255873822,233096.37724210517,237557.03180511767
249,239085.30068828582,228859.88743380705,252280.39839003514,245998.97755755502,236144.66574106456
250,243994.84555938182,237470.68578489916,262576.8782099497,243486.13544040083,242495.15387859082
251,233701.1009954986,246292.75485962184,232505.15196934255,234822.9097074206,237661.09906667986
252,233381.92526930492,235926.3980177616,224757.29433077745,240832.29457152536,226261.55579165506
253,252409.7283321959,243377.64783451898,243099.7871834027,247245.50211136736,248890.09017409245
254,249788.56762192317,245553.51484594797,244707.28235347616,245980.70729090256,254881.9471765924
255,168592.44925179344,499153.4529553466,360555.6028136707,174887.09619267593,176531.90396491007
256,167961.8257618229,530658.2697876103,392577.5379714233,198238.01193226932,171755.54228301975
257,178283.8601744607,481962.9070390493,341024.5673474625,198735.9196089822,177052.89008304896
258,163921.5974506212,392918.05304606265,263204.9219997216,175182.87948583683,161544.5300540804
259,161790.70213002648,410081.51926815894,208351.77884776948,164207.548167405,160533.80359324554
260,204280.3543328949,247070.11829677795,217335.03982854067,199943.24968634587,203759.97758835237
261,213582.42734554672,251496.7036921463,219662.95639197656,216032.73401829792,214819.50441573397
262,204147.73644006587,298622.0960871285,205566.2923606449,209680.37073222751,204600.40398181463
263,175447.068319337,324194.55762232956,222383.385204612,229212.1641392767,174458.4780489786
264,179580.88185444393,552857.766352101,240916.20079972278,260023.6509749341,178574.55450017657
265,196151.8244670615,254738.39714529875,207644.85637645976,196746.92875953327,197492.99277252972
266,215782.88354368298,356717.61696893105,236648.74589433087,218653.99216040102,222468.1704847396
267,229693.89682878452,274911.01959637465,229876.73511381264,225201.77564547514,228479.15823088484
268,211038.61442983523,211012.84244813028,212744.85636323824,204920.20113273646,213366.1734602411
269,195854.1431870527,223424.38713539296,199974.68145374153,190966.73587101154,196453.90337597753
270,190219.20894523946,284735.886384685,389924.0418906077,212144.91297819445,238658.74283903255
271,152569.43768426712,280476.5039964013,329959.5424564664,231635.19531186152,237172.92305282434
272,151962.83815402616,232442.88371556828,245813.7352504859,177586.45390903545,163427.9376453897
273,146396.17750626415,181134.52659853763,174069.18310291143,147470.55815259487,145954.93078029726
274,147552.34907304292,163746.96641780538,197330.14364093338,149700.67389462283,146569.96322809462
275,147935.1583574147,171264.87252873433,215078.64274230803,156407.98208011422,146220.5156144075
276,147891.99164156985,157441.81398505496,184945.11449427754,148219.17061229853,146507.91780286274
277,145080.51330831915,176470.03179571795,205218.7238738366,146101.6758415995,144441.3604347033
278,151101.32894162898,157162.17843798935,249132.83774895326,157941.0673333154,147316.8391818664
279,157567.3160536218,198535.66484923632,221731.7833803227,162813.824544278,153171.81369266822
280,146684.03913467884,166163.4151211331,197979.082608865,146770.0107240072,147313.3110889427
281,161249.7350002363,193747.06622116195,181503.1726222006,161067.2934952641,159048.70201453724
282,175757.1211229795,239519.8066486491,195640.33532185422,176485.77327318254,175468.17569611972
283,151010.198447729,150136.57732455246,177499.52810447838,154323.71049046324,153223.14032146265
284,142277.98670772533,159255.35715005224,220009.38428165426,145553.22764472858,142406.12158649007
285,146666.2795796486,181532.354695454,189103.32841374355,148279.83986557057,145214.154866087
286,167282.36531441932,240686.2449045361,217904.7539662201,165767.06218791194,169736.84864639386
287,178114.40384815552,182371.26101702996,191729.97523429824,175170.05060268412,179689.908204847
288,166256.2457525165,165217.64972456588,166435.77488422024,165834.41820446774,166396.3189200377
289,149629.29179255577,183777.50488926272,180927.2668492526,150051.48095910577,151969.1261523158
290,154836.30711144343,154522.74083835172,197088.67731625724,164854.03662260412,165541.27559880988
291,152213.14775381496,163601.0907069155,195158.70457039325,167462.339548156,168466.85996093036
292,152309.0513268087,175823.42564548602,185563.15687800004,158471.81343052365,162247.93299171643
293,152606.20487298115,162739.9405724821,163010.77580041767,155506.10047491852,154471.45642708422
294,151334.37681370406,159580.59372616533,157931.47180164812,152410.20101083603,151608.2427997563
295,157293.35065650626,163606.70205991186,160171.10792603635,157303.1028799059,155878.19874747802
296,147409.84398726615,177451.57075908012,158835.0333959654,148255.3257872198,146179.7658568178
297,173470.09673528676,180664.9607814879,246819.57595638238,187771.19854487662,190070.0758679623
298,204747.76582868007,201836.1560305308,263059.6366331616,205993.83076661752,205838.1108167892
299,241058.946772856,234684.20699540508,282715.3631925318,247778.4565179631,249671.18210098817
300,227719.18386873472,219629.47196988782,222545.15787407212,227318.20354362013,235603.89144216973
