,LR_PO,NN_PO,LR_DO,NN_DO
347,29355.36857937795,28834.82573189388,31878.075925340425,31864.425394405425
348,30168.11723376426,29867.200782836433,32447.572657277375,32745.6754396623
349,31301.004235649016,30757.440864876397,33081.48138052209,33398.38081580434
350,31940.19355168448,31288.384879978606,33499.80270924354,33678.48506101193
351,32407.70612096701,31872.674332028764,33886.77183917292,33943.99596988214
352,32816.49047197112,32568.98193234848,34313.23887186791,34517.890118542855
353,33032.92185093391,33076.25629468815,34577.50907542082,34772.9478946
354,33377.629690961265,33073.29642685943,34772.9478946,34772.9478946
355,33312.27895856804,32739.99050539956,34772.9478946,34554.40459495701
356,32849.40725859285,33307.11309563781,34467.55790809864,34516.42231951759
357,33001.91924145874,34082.915483483324,34696.30059654005,34772.9478946
358,34772.9478946,34772.9478946,34772.9478946,34772.9478946
359,33943.66652796484,33896.803966814616,34772.9478946,34772.9478946
360,32661.488804682624,32931.939019845544,34772.9478946,34316.32023374174
361,32500.735780580566,32725.044502476754,34772.9478946,34171.652005132986
362,33168.80613265832,32880.57000215472,34772.9478946,34278.93139211907
363,33834.83834592341,33172.53891744212,34772.9478946,34451.96297891769
364,33701.30225233108,33216.74207990744,34772.9478946,34512.62726359238
365,33445.35003624291,33366.5464148404,34772.9478946,34675.79671280454
366,33636.97352145853,33771.04593069946,34772.9478946,34772.9478946
367,33780.05199250355,33900.52961001297,34772.9478946,34772.9478946
368,33305.35185293083,34279.21734584531,34772.9478946,34772.9478946
369,31229.129693980507,32525.237108708534,33511.83227446701,34529.944534161215
370,27718.842340207877,27480.406284940163,30926.832072039506,30755.19503946906
371,29976.75850976522,30021.07442799427,32500.067374632035,32822.61551369476
372,31779.996293890563,31521.48158404523,33664.630617490824,33891.7080681971
373,32123.23436079586,31647.860938094298,33800.52836952275,33874.09784747075
374,32283.957889569403,31718.39588090557,33887.580928548596,33915.32488483967
375,32852.02131111325,32291.275285754393,34348.46813869449,34157.652291312785
376,32828.07435581334,32371.756889428674,34293.055096636206,34161.976143900276
377,32716.6659712053,32216.384324190283,34170.53855648157,34146.33734912741
378,33055.65775591463,32731.064800947166,34539.28632305842,34569.78806353472
379,33178.40233327937,32782.99562335984,34621.061497200804,34570.88807090945
380,33520.580542454954,32923.588938792534,34772.9478946,34552.70036881027
381,33630.1610295585,33011.96263306447,34772.9478946,34772.9478946
382,34216.24673550283,33324.03354372095,34772.9478946,34772.9478946
383,34477.136341848585,33428.96805209016,34772.9478946,34772.9478946
384,34772.9478946,33628.98783544835,34772.9478946,34772.9478946
385,34772.9478946,34360.414646698584,34772.9478946,34772.9478946
386,34772.9478946,34087.322073951,34772.9478946,34772.9478946
387,34295.142094344425,33842.87901633537,34772.9478946,34772.9478946
388,33593.659399288896,33785.202294906136,34772.9478946,34772.9478946
389,33203.53932057382,33617.40546120956,34772.9478946,34772.9478946
390,32930.36113589338,33530.10254026136,34772.9478946,34772.9478946
391,33037.90261325921,33626.143278096846,34772.9478946,34772.9478946
392,33230.49270916204,33794.1030328403,34772.9478946,34772.9478946
393,31929.81816344795,32688.343023937967,33926.73655776777,34623.81283654063
394,30460.57247360212,30084.120576569818,32588.046133422562,32867.72861865707
395,31321.5160302871,30854.735038050392,33151.297868225025,33498.30286017626
396,31905.03256538218,31354.69177195839,33517.94071055294,33722.26623125748
397,32236.598378583054,31688.95768507505,33752.77055547812,33843.07294231418
398,32580.356445807585,32189.637867395028,34111.03637613801,34313.62579483881
399,32583.385871517334,32208.621246624047,34095.35792524432,34266.510549299426
400,32658.846069697098,32353.288401091904,34125.6975285063,34224.99558410748
401,32500.501443679223,32380.484022968627,33976.46440428579,34106.97275595681
402,32045.35926162484,32838.695577161925,33600.18320856418,34430.93083559035
403,31406.54873992644,33338.55198050364,33209.01349097336,34772.9478946
404,30351.8656985133,32404.969558322275,32367.885337252847,34414.78019816292
405,29904.8284611399,31093.974202341742,32196.985687895256,33631.386130801904
406,29494.799732417854,30888.10238323368,32442.762364016082,33287.424963854646
407,28929.46160955471,30735.180020482094,32307.066202103455,33167.22964218624
408,28112.927334264627,30106.200733046135,31823.131005498963,32634.61995388637
409,25279.63255332192,27394.42856355497,29980.208301967963,30500.045119541144
410,24197.328646358757,26443.082521714317,29273.478399582116,29754.601553370474
411,23802.4377563182,25657.301887457146,28951.583105940284,29193.025362249628
412,23205.763517745658,24467.583890432794,28588.128197682046,28016.251866249382
413,23416.376885097372,23782.416234424156,28680.456936811697,27337.530449124504
414,24030.197431650537,23859.850993887594,29054.09864900132,27286.24480799224
